Timestamp,Record number,Average Water Speed,Average Water Direction,Chlorophyll,Chlorophyll [quality],Temperature,Temperature [quality],Dissolved Oxygen,Dissolved Oxygen [quality],Dissolved Oxygen (%Saturation),Dissolved Oxygen (%Saturation) [quality],pH,pH [quality],Salinity,Salinity [quality],Specific Conductance,Specific Conductance [quality],Turbidity,Turbidity [quality],pH_Q,pH_Contribution,Turbidity_Q,Turbidity_Contribution,Specific Conductance_Q,Specific Conductance_Contribution,Dissolved Oxygen (%Saturation)_Q,Dissolved Oxygen (%Saturation)_Contribution,WQI,Year,Month,DayOfWeekNum,IsWeekend,DayOfYear,Hour
2024-01-11,12937.0,20.939482758620688,163.20684137931033,3.692151724137931,1020.0,25.76254827586207,1020.0,6.777255172413793,1020.0,99.11755862068966,1020.0,7.954689655172414,1020.0,30.580000000000002,1020.0,47.17910344827586,1020.0,3.568503448275862,1020.0,16.213530322143107,4.053382580535777,24.158316108298433,8.455410637904452,0.003529650573648446,0.0008824126434121115,0.0,0.0,12.50967563108364,2024.0,1.0,3.0,0.0,11.0,11.482758620689655
2024-01-12,13082.0,21.011055172413794,214.6985612413793,3.9465999999999997,1020.0,27.06120344827586,1020.0,6.68371724137931,1020.0,100.82462068965518,1020.0,7.963855172413793,1020.0,30.085579310344826,1020.0,46.454965517241384,1020.0,3.5253862068965516,1020.0,15.633237857588586,3.9083094643971465,23.92525393434025,8.373838877019088,0.0034154062262974714,0.0008538515565743678,0.0,0.0,12.283002192972809,2024.0,1.0,4.0,0.0,12.0,11.482758620689655
2024-01-13,13227.0,21.317455172413794,215.20619980689654,4.667103448275862,1020.0,26.894489655172414,1020.0,7.084696551724138,1020.0,99.91023448275863,1020.0,7.970903448275862,1020.0,30.24983448275862,1020.0,44.70710344827586,1020.0,4.592579310344828,1020.0,15.279215975274989,3.819803993818747,10.723164625038521,3.7531076187634818,0.0032056236631914656,0.0008014059157978664,0.0,0.0,7.573713018498027,2024.0,1.0,5.0,1.0,13.0,11.482758620689655
2024-01-14,13372.0,19.476213793103447,195.91872413793104,5.599234482758621,1020.0,25.957558620689657,1020.0,7.267324137931034,1020.0,100.53482068965518,1020.0,7.9803999999999995,1020.0,30.506444827586208,1020.0,44.785062068965516,1020.0,4.6315793103448275,1020.0,14.732082788810112,3.683020697202528,10.524928610810678,3.683725013783737,0.003198699964355497,0.0007996749910888743,0.0,0.0,7.367545385977354,2024.0,1.0,6.0,1.0,14.0,11.482758620689655
2024-01-15,13517.0,25.145537931034482,183.15675862068966,4.345455172413793,1020.0,27.247365517241377,1020.0,6.580420689655173,1020.0,96.50104137931034,1020.0,7.948944827586207,1020.0,29.8851,1020.0,42.47633793103448,1020.0,3.940641379310345,1020.0,16.686815798664455,4.171703949666114,18.925820798775156,6.624037279571303,0.0028604950634494317,0.0007151237658623579,0.0,0.0,10.796456353003279,2024.0,1.0,0.0,0.0,15.0,11.482758620689655
2024-01-16,13662.0,21.423841379310343,168.37584137931034,4.399551724137931,1020.0,26.013662068965516,1020.0,6.898020689655172,1020.0,99.79886896551724,1020.0,7.999379310344828,1020.0,30.603499999999997,1020.0,43.39703448275862,1020.0,4.940896551724138,1020.0,14.034889757697677,3.508722439424419,9.366690062584455,3.2783415219045593,0.0030280552873122282,0.0007570138218280571,0.0,0.0,6.787820975150806,2024.0,1.0,1.0,0.0,16.0,11.482758620689655
2024-01-17,13807.0,23.50386551724138,178.76953103448275,4.802855172413793,1020.0,26.283627586206897,1020.0,6.696634482758621,1020.0,98.17773793103449,1020.0,8.030041379310346,1020.0,30.46771724137931,1020.0,44.63684137931034,1020.0,4.2927793103448275,1020.0,12.370628473498645,3.092657118374661,16.22094681587863,5.677331385557521,0.0031838021436985573,0.0007959505359246393,0.0,0.0,8.770784454468107,2024.0,1.0,2.0,0.0,17.0,11.482758620689655
2024-01-18,13952.0,19.666351724137932,184.73349655172413,3.840703448275862,1020.0,25.7112275862069,1020.0,6.714813793103448,1020.0,96.40413793103448,1020.0,7.9702,1020.0,30.643648275862066,1020.0,47.249158620689656,1020.0,3.541813793103448,1020.0,15.550188322726147,3.8875470806815366,25.774797855263614,9.021179249342266,0.003544065237261161,0.0008860163093152903,0.0,0.0,12.909612346333116,2024.0,1.0,3.0,0.0,18.0,11.482758620689655
2024-01-19,14097.0,17.153337931034482,167.86609655172413,3.8162689655172417,1020.0,25.300303448275862,1020.0,6.678655172413793,1020.0,96.86497931034484,1020.0,7.948868965517241,1020.0,30.844820689655172,1020.0,47.46932413793103,1020.0,3.4065172413793103,1020.0,16.728373424620617,4.182093356155154,31.580263914840444,11.053092370194154,0.0035799444126217187,0.0008949861031554297,0.0,0.0,15.236080712452463,2024.0,1.0,4.0,0.0,19.0,11.482758620689655
2024-01-20,14242.0,18.02713103448276,185.73820670344827,4.816324137931034,1020.0,25.2455,1020.0,6.729834482758621,1020.0,98.93426206896552,1020.0,7.9414,1020.0,30.113824137931033,1020.0,46.52908965517241,1020.0,3.8666758620689654,1020.0,17.06601619288539,4.266504048221347,21.572268782120936,7.550294073742327,0.0034302549893405823,0.0008575637473351456,0.0,0.0,11.81765568571101,2024.0,1.0,5.0,1.0,20.0,11.482758620689655
